ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,BGR,70612,19.731323,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,0,NA,NA,5408,BGR70612
1999,BGR,100301,17.993942,1,1,0,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,5409,BGR100301
1999,BGR,100303,17.993942,0,0,0,1,0,0,1,0,0,0,0,0,1,3,2,2,2,5410,BGR100303
1999,BGR,100311,17.993942,1,1,0,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,NA,5411,BGR100311
1999,BGR,160619,11.838773,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,5412,BGR160619
1999,BGR,300320,41.435682,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,NA,NA,5413,BGR300320
1999,BGR,320414,23.247605,1,1,1,1,1,0,0,1,0,1,0,1,1,3,1,NA,NA,5414,BGR320414
1999,BGR,360306,43.673135,1,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,0,1,2,5415,BGR360306
1999,BGR,570120,20.19555,NA,0,0,1,0,NA,1,1,0,1,NA,NA,1,1,0,0,1,5416,BGR570120
1999,BGR,580216,22.859282,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,5417,BGR580216
1999,BGR,600203,27.247999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5418,BGR600203
1999,BGR,600217,27.247999,1,1,1,1,1,1,0,0,0,1,0,0,1,2,0,2,1,5419,BGR600217
1999,BGR,710211,23.515373,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,5420,BGR710211
1999,BGR,810206,26.009446,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,1,5421,BGR810206
1999,BGR,870218,23.40849,1,0,1,NA,0,1,1,1,1,1,1,1,1,2,2,2,2,5422,BGR870218
1999,BGR,870225,23.40849,1,1,0,1,0,1,1,0,1,NA,0,0,1,3,0,1,1,5423,BGR870225
1999,BGR,880214,28.610377,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,NA,5424,BGR880214
1999,BGR,910206,33.296569,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,5425,BGR910206
1999,BGR,980208,21.902696,1,0,NA,0,0,0,0,0,0,0,0,0,1,2,0,1,1,5426,BGR980208
1999,BGR,1110208,26.433496,1,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,1,0,0,0,0,5427,BGR1110208
1999,BGR,1150107,13.839444,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,2,2,5428,BGR1150107
1999,BGR,1280103,18.062111,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,5429,BGR1280103
1999,BGR,1280119,18.062111,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2,1,1,5430,BGR1280119
