COUNTRY,IDCNTRY,IDSTUD
DEU,(280) Germany,101010101
DEU,(280) Germany,101010102
DEU,(280) Germany,101010103
DEU,(280) Germany,101010104
DEU,(280) Germany,101010105
DEU,(280) Germany,101010106
DEU,(280) Germany,101020101
DEU,(280) Germany,101020102
DEU,(280) Germany,101020103
DEU,(280) Germany,101020104
DEU,(280) Germany,101020105
DEU,(280) Germany,101020106
DEU,(280) Germany,101020107
DEU,(280) Germany,101020108
DEU,(280) Germany,101020109
DEU,(280) Germany,101020110
DEU,(280) Germany,101020111
DEU,(280) Germany,101020112
DEU,(280) Germany,101020113
DEU,(280) Germany,101020114
DEU,(280) Germany,101020115
DEU,(280) Germany,101020116
DEU,(280) Germany,101020117
DEU,(280) Germany,101020118
DEU,(280) Germany,101020119
DEU,(280) Germany,101020120
DEU,(280) Germany,101020121
DEU,(280) Germany,101020122
DEU,(280) Germany,103010101
DEU,(280) Germany,103010102
DEU,(280) Germany,103010103
DEU,(280) Germany,103010104
DEU,(280) Germany,103010105
DEU,(280) Germany,103010106
DEU,(280) Germany,103010107
DEU,(280) Germany,103010108
DEU,(280) Germany,103010109
DEU,(280) Germany,103010110
DEU,(280) Germany,103010111
DEU,(280) Germany,103010112
DEU,(280) Germany,103010113
DEU,(280) Germany,103010114
DEU,(280) Germany,103010115
DEU,(280) Germany,103010116
DEU,(280) Germany,103010117
DEU,(280) Germany,103010118
DEU,(280) Germany,103010119
DEU,(280) Germany,103010120
DEU,(280) Germany,103010121
DEU,(280) Germany,103010122
DEU,(280) Germany,103010123
DEU,(280) Germany,103010124
DEU,(280) Germany,103010125
DEU,(280) Germany,103010126
DEU,(280) Germany,103010127
DEU,(280) Germany,103010128
DEU,(280) Germany,103010129
DEU,(280) Germany,103010130
DEU,(280) Germany,104010101
DEU,(280) Germany,104010102
DEU,(280) Germany,104010103
DEU,(280) Germany,104010104
DEU,(280) Germany,104010105
DEU,(280) Germany,104010106
DEU,(280) Germany,104010107
DEU,(280) Germany,104010108
DEU,(280) Germany,104010109
DEU,(280) Germany,104010110
DEU,(280) Germany,104010111
DEU,(280) Germany,104010112
DEU,(280) Germany,104010113
DEU,(280) Germany,104010114
DEU,(280) Germany,104010115
DEU,(280) Germany,104010116
DEU,(280) Germany,104010117
DEU,(280) Germany,104010118
DEU,(280) Germany,105010101
DEU,(280) Germany,105010102
DEU,(280) Germany,105010103
DEU,(280) Germany,105010104
DEU,(280) Germany,105010105
DEU,(280) Germany,105010106
DEU,(280) Germany,105010107
DEU,(280) Germany,105010108
DEU,(280) Germany,105010109
DEU,(280) Germany,105010110
DEU,(280) Germany,105010111
DEU,(280) Germany,105010112
DEU,(280) Germany,105010113
DEU,(280) Germany,105010114
DEU,(280) Germany,105010115
DEU,(280) Germany,105010116
DEU,(280) Germany,105010117
DEU,(280) Germany,105010118
DEU,(280) Germany,105010119
DEU,(280) Germany,105010120
DEU,(280) Germany,105010121
DEU,(280) Germany,105010122
DEU,(280) Germany,105010123
DEU,(280) Germany,105010124
DEU,(280) Germany,201010101
DEU,(280) Germany,201010102
DEU,(280) Germany,201010103
DEU,(280) Germany,201010104
DEU,(280) Germany,201010105
DEU,(280) Germany,201010106
DEU,(280) Germany,201010107
DEU,(280) Germany,201010108
DEU,(280) Germany,201010109
DEU,(280) Germany,201010110
DEU,(280) Germany,201010111
DEU,(280) Germany,201010112
DEU,(280) Germany,201010113
DEU,(280) Germany,201010114
DEU,(280) Germany,201030101
DEU,(280) Germany,201030102
DEU,(280) Germany,201030103
DEU,(280) Germany,201030104
